keyword,language,country,city,cluster,search_intent,commercial_intent,local_intent,trend_score,trend_direction,search_volume,volume_source,competition,keyword_difficulty,CPC,traffic_potential,conversion_potential,business_value,priority,target_page,content_type,SERP_type,competitors,notes
construction maison Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
entreprise construction Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
entreprise de construction Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
construction bâtiment Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
entreprise bâtiment Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
devis construction maison Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
construction maison individuelle Toulouse,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
entreprise construction Haute-Garonne,fr,France,Toulouse,CONSTRUCTION_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,élevée (constructeurs établis + annuaires),N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/construction,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Concurrents type Esprit Villa, Les Demeures du Midi, Cogebois dominent ; RK doit se positionner sur le gros-œuvre/rénovation-construction combinés plutôt que face aux gros constructeurs de maisons neuves catalogue"
rénovation maison Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
entreprise rénovation Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
entreprise rénovation maison Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
